distance	patristic
737.6658892	0.006429715
0	0.014333878
0	0.013634953
0	0.014344026
0	0.01152059
0	0.01152059
1380.727695	0.35445744
1380.727695	0.353767062
1380.727695	0.353767062
1192.267446	0.356199995
1002.314935	0.371659969
1002.314935	0.375619516
1002.314935	0.376315541
1002.314935	0.383762642
1002.314935	0.38905555
1002.314935	0.382896318
1002.314935	0.39529026
1002.314935	0.384333687
1002.314935	0.384333687
5352.043038	0.407834015
1380.727695	0.400259312
1002.314935	0.410157206
1002.314935	0.410157206
1002.314935	0.410145556
1002.314935	0.409454763
1192.267446	0.415852571
1002.314935	0.412303641
1192.267446	0.424104173
536.0646018	0.419558161
1380.727695	0.409455432
1380.727695	0.410151264
536.0646018	0.408762631
1192.267446	0.411586595
1192.267446	0.415819499
1192.267446	0.412997288
1192.267446	0.415113235
1192.267446	0.418057923
1192.267446	0.414404705
1002.314935	0.415837073
1192.267446	0.413702709
1192.267446	0.41583268
1192.267446	0.415111651
1192.267446	0.417312922
0	0.421702021
0	0.422398151
737.6658892	0.425945002
1192.267446	0.4259372
1192.267446	0.426632817
1192.267446	0.415862124
0	0.421666356
737.6658892	0.416559628
737.6658892	0.409474053
824.9480257	0.409493178
824.9480257	0.409493178
1380.727695	0.401643939
1380.727695	0.407358215
1002.314935	0.40024083
1002.314935	0.406664569
1462.702006	0.402388407
1002.314935	0.403584888
1380.727695	0.418699679
1002.314935	0.410668727
5352.043038	0.402385674
5352.043038	0.400988336
1380.727695	0.407042198
5352.043038	0.419653989
5352.043038	0.420402432
5352.043038	0.419706098
1002.314935	0.392373971
1002.314935	0.39237888
1002.314935	0.391683403
1002.314935	0.390974786
1002.314935	0.407202827
536.0646018	0.416565458
1380.727695	0.417144973
1380.727695	0.414933135
1002.314935	0.412786003
1002.314935	0.41348642
1002.314935	0.414181966
1380.727695	0.414173278
1002.314935	0.418445037
1380.727695	0.414874516
1380.727695	0.415586472
1002.314935	0.398756134
1002.314935	0.397364108
1002.314935	0.398059
1002.314935	0.383004489
1002.314935	0.393843573
1380.727695	0.399278759
1002.314935	0.396492801
1002.314935	0.392065661
1002.314935	0.402911665
1002.314935	0.402220364
1002.314935	0.402220364
1002.314935	0.402173842
1002.314935	0.402406744
1380.727695	0.408038159
1380.727695	0.407345011
1380.727695	0.408041834
1380.727695	0.406611912
1002.314935	0.409510103
1462.702006	0.407457885
1462.702006	0.408937307
1462.702006	0.410337219
1380.727695	0.414901701
1002.314935	0.409868853
1002.314935	0.409868853
1380.727695	0.408117005
1380.727695	0.407430284
1380.727695	0.407430284
1380.727695	0.407430284
1380.727695	0.407430284
1380.727695	0.408816306
1380.727695	0.407418545
1192.267446	0.424299373
5352.043038	0.415614421
5352.043038	0.41589763
5352.043038	0.416595259
5352.043038	0.414489842
1192.267446	0.420304876
536.0646018	0.418760764
1192.267446	0.419456684
1192.267446	0.420878911
737.6658892	0.420169951
737.6658892	0.435262601
1192.267446	0.417337828
536.0646018	0.418839123
1380.727695	0.411595432
1002.314935	0.415333625
1002.314935	0.414642071
1002.314935	0.414642071
1002.314935	0.417455161
1002.314935	0.41604927
1380.727695	0.416048109
1380.727695	0.39776702
1380.727695	0.39776702
1380.727695	0.395592184
1380.727695	0.397723862
1380.727695	0.397032098
1380.727695	0.397037073
1380.727695	0.397037073
1380.727695	0.398423116
1192.267446	0.403068853
1192.267446	0.402080014
1192.267446	0.403485344
1192.267446	0.404919339
1192.267446	0.404919339
1192.267446	0.404914364
1002.314935	0.399157812
1182.644297	0.40059727
1380.727695	0.397728722
1380.727695	0.39913782
1002.314935	0.402944684
1002.314935	0.402944684
1002.314935	0.402939709
737.6658892	0.405686924
737.6658892	0.405012134
1002.314935	0.410769878
536.0646018	0.402713697
737.6658892	0.401983668
737.6658892	0.401972051
